"di_id","Year","P20population"
"BT",2013,41334
"BT",2014,
"BT",2015,52645
"BT",2016,
"BT",2017,
"BO",1981,0
"BO",1982,
"BO",1983,
"BO",1984,20517
"BO",1985,
"BO",1986,
"BO",1987,39540
"BO",1988,
"BO",1989,
"BO",1990,36897
"BO",1991,
"BO",1992,
"BO",1993,456010
"BO",1994,
"BO",1995,
"BO",1996,1090868
"BO",1997,
"BO",1998,
"BO",1999,1827661
"BO",2000,
"BO",2001,
"BO",2002,1856833
"BO",2003,
"BO",2004,
"BO",2005,1725572
"BO",2006,
"BO",2007,
"BO",2008,1111891
"BO",2009,
"BO",2010,991683
"BO",2011,900529
"BO",2012,1045294
"BO",2013,966472
"BO",2014,
"BO",2015,996476
"BO",2016,
"BO",2017,
"BW",1981,308100
"BW",1982,
"BW",1983,
"BW",1984,318272
"BW",1985,
"BW",1986,
"BW",1987,339726
"BW",1988,
"BW",1989,
"BW",1990,287061
"BW",1991,
"BW",1992,
"BW",1993,342592
"BW",1994,
"BW",1995,
"BW",1996,398597
"BW",1997,
"BW",1998,
"BW",1999,383949
"BW",2000,
"BW",2001,
"BW",2002,461257
"BW",2003,
"BW",2004,
"BW",2005,458726
"BW",2006,
"BW",2007,
"BW",2008,362680
"BW",2009,
"BW",2010,413255
"BW",2011,432124
"BW",2012,447815
"BW",2013,440674
"BW",2014,
"BW",2015,494391
"BW",2016,
"BW",2017,
"BR",1981,10313589
"BR",1982,
"BR",1983,
"BR",1984,17972820
"BR",1985,
"BR",1986,
"BR",1987,14680025
"BR",1988,
"BR",1989,
"BR",1990,19545312
"BR",1991,
"BR",1992,
"BR",1993,20156368
"BR",1994,
"BR",1995,
"BR",1996,17349770
"BR",1997,
"BR",1998,
"BR",1999,16531190
"BR",2000,
"BR",2001,
"BR",2002,14690896
"BR",2003,
"BR",2004,
"BR",2005,15612116
"BR",2006,
"BR",2007,
"BR",2008,11935245
"BR",2009,
"BR",2010,11752437
"BR",2011,12310478
"BR",2012,10572097
"BR",2013,11644856
"BR",2014,
"BR",2015,12134554
"BR",2016,
"BR",2017,
"BG",1981,3209
"BG",1982,
"BG",1983,
"BG",1984,3331
"BG",1985,
"BG",1986,
"BG",1987,3386
"BG",1988,
"BG",1989,
"BG",1990,4760
"BG",1991,
"BG",1992,
"BG",1993,11891
"BG",1994,
"BG",1995,
"BG",1996,30467
"BG",1997,
"BG",1998,
"BG",1999,113093
"BG",2000,
"BG",2001,
"BG",2002,62818
"BG",2003,
"BG",2004,
"BG",2005,47128
"BG",2006,
"BG",2007,
"BG",2007,
"BG",2007,
"BG",2007,
"BG",2007,
"BG",2007,
"BG",2007,
"BG",2007,
"BG",2008,91068
"BG",2009,
"BG",2010,165747
"BG",2011,218267
"BG",2012,200173
"BG",2013,233733
"BG",2014,
"BG",2015,195300
"BG",2016,
"BG",2017,
"BF",1981,4683239
"BF",1982,
"BF",1983,
"BF",1984,5535968
"BF",1985,
"BF",1986,
"BF",1987,6023381
"BF",1988,
"BF",1989,
"BF",1990,6520391
"BF",1991,
"BF",1992,
"BF",1993,7051377
"BF",1994,
"BF",1995,
"BF",1996,7857418
"BF",1997,
"BF",1998,
"BF",1999,7522583
"BF",2000,
"BF",2001,
"BF",2002,7144227
"BF",2003,
"BF",2004,
"BF",2005,7435936
"BF",2006,
"BF",2007,
"BF",2008,8438269
"BF",2009,
"BF",2010,9543188
"BF",2011,10114471
"BF",2012,10408409
"BF",2013,11047088
"BF",2014,
"BF",2015,12116127
"BF",2016,
"BF",2017,
"BI",1981,2060783
"BI",1982,
"BI",1983,
"BI",1984,2911701
"BI",1985,
"BI",1986,
"BI",1987,3126249
"BI",1988,
"BI",1989,
"BI",1990,3312956
"BI",1991,
"BI",1992,
"BI",1993,3726744
"BI",1994,
"BI",1995,
