"di_id","Year","Poorpop","Poorpop.Interp","P20population"
"AT",1987,36578.115119988,36578.115119988,17394.824660592
"AT",1988,,30262.7325950587,
"AT",1989,,23947.3500701293,
"AT",1990,17631.9675452,17631.9675452,17631.9675452
"AT",1991,,17806.3333057253,
"AT",1992,,17980.6990662507,
"AT",1993,18155.064826776,18155.064826776,18155.064826776
"AT",1994,,18195.9297805253,
"AT",1995,,18236.7947342747,
"AT",1996,18277.659688024,18277.659688024,18277.659688024
"AT",1997,,18303.1558856587,
"AT",1998,,18328.6520832933,
"AT",1999,18354.148280928,18354.148280928,18354.148280928
"AT",2000,,18422.7615058533,
"AT",2001,,18491.3747307787,
"AT",2002,18559.987955704,18559.987955704,18559.987955704
"AT",2003,,18875.166960547,
"AT",2004,,19190.34596539,
"AT",2005,19505.524970233,19505.524970233,19505.524970233
"AT",2006,,26677.8318285607,
"AT",2007,,33850.1386868883,
"AT",2008,41022.445545216,41022.445545216,41022.445545216
"AT",2009,,41221.641367166,
"AT",2010,41420.837189116,41420.837189116,41420.837189116
"AT",2011,41472.414395087,41472.414395087,41472.414395087
"AT",2012,41254.597225899,41254.597225899,63011.072058321
"AT",2013,13800.310003125,13800.310003125,40214.8604725
"AT",2014,,39187.3264783245,
"AT",2015,64574.342953524,64574.342953524,64574.342953524
"AT",2016,,64574.342953524,
"AT",2017,,64574.342953524,
"AZ",1981,31723.69808608,31723.69808608,12644.874088
"AZ",1982,,30895.0542298967,
"AZ",1983,,30066.4103737133,
"AZ",1984,29237.76651753,29237.76651753,19721.090959035
"AZ",1985,,29737.00540602,
"AZ",1986,,30236.24429451,
"AZ",1987,30735.483183,30735.483183,23153.818865
"AZ",1988,,32604.1710206667,
"AZ",1989,,34472.8588583333,
"AZ",1990,36341.546696,36341.546696,31416.083106
"AZ",1991,,105270.708080667,
"AZ",1992,,174199.869465333,
"AZ",1993,243129.03085,243129.03085,104388.18645
"AZ",1994,,336925.264003333,
"AZ",1995,,430721.497156667,
"AZ",1996,524517.73031,524517.73031,291014.60857
"AZ",1997,,459526.634970833,
"AZ",1998,,394535.539631667,
"AZ",1999,329544.4442925,329544.4442925,161467.6430425
"AZ",2000,,219696.296195,
"AZ",2001,,109848.1480975,
"AZ",2002,0,0,0
"AZ",2003,,0,
"AZ",2004,,0,
"AZ",2005,0,0,0
"AZ",2006,,0,
"AZ",2007,,0,
"AZ",2008,0,0,0
"AZ",2009,,0,
"AZ",2010,0,0,0
"AZ",2011,0,0,0
"AZ",2012,0,0,0
"AZ",2013,0,0,0
"AZ",2014,,0,
"AZ",2015,0,0,0
"AZ",2016,,0,
"AZ",2017,,0,
"BD",1981,22635049.459016,22635049.459016,2131277.24964776
"BD",1982,,23350346.5265142,
"BD",1983,,24065643.5940124,
"BD",1984,24780940.6615106,24780940.6615106,4414085.85976624
"BD",1985,,26917839.4609616,
"BD",1986,,29054738.2604127,
