"CountryName","PopTotal2020","PopTotal2030","BaseHC2030","RegionCode","PlusOneHC2030","MinusOneHC2030","BaseHC2020","pop2030","pop2020","basepoorpop","plusonepop","minusonepop","basepoorpop2020","frag"
"Namibia",2696.537,3245.659,88,"SSA",0.05349842,0.08843108,0.06895189,3.245659,2.696537,285.617992,0.17363762835878,0.28701713068172,0.18593132260493,0
"Nauru",11.227,11.454,,"EAP",,,,0.011454,0.011227,,,,,
"Nepal",30260.244,33167.612,89,"SAS",0.002491485,0.007944756,0.004798404,33.167612,30.260244,2951.917468,0.08263660778382,0.263508584442672,0.145200875850576,1
"Netherlands",17181.248,17594.086,8,"OHI",0,0,0,17.594086,17.181248,140.752688,0,0,0,0
"New Zealand",4834.42,5213.103,,"OHI",,,,5.213103,4.83442,,,,,0
"Nicaragua",6416.568,7046.293,90,"LAC",0.004294989,0.009091415,0.00803688,7.046293,6.416568,634.16637,0.030263750925777,0.064060773874595,0.05156918702784,0
"Niger",24074.693,34993.54,91,"SSA",0.03617565,0.07934516,0.05446242,34.99354,24.074693,3184.41214,1.265914055301,2.7765680302664,1.31116604153706,1
"Nigeria",206152.701,264067.527,92,"SSA",0.2992702,0.4183957,0.3583951,264.067527,206.152701,24294.212484,79.0275416187954,110.484717806434,73.8841178901651,1
"Niue",1.632,1.674,,"EAP",,,,0.001674,0.001632,,,,,
"Norway",5449.693,5959.215,8,"OHI",0,0.002383791,0,5.959215,5.449693,47.67372,0,0.014205523084065,0,0
"Oman",5149.7,5897.473,,"OHI",,,,5.897473,5.1497,,,,,0
"Pakistan",208362.334,244248.371,93,"SAS",3.894874e-05,0.0007254227,0.000230663,244.248371,208.362334,22715.098503,0.00951316629750254,0.177183312761422,0.048061481047442,1
"Palau",22.442,24.76,,"EAP",,,,0.02476,0.022442,,,,,0
"Panama",4289.33,4884.311,94,"LAC",0.001242158,0.002843522,0.002179789,4.884311,4.28933,459.125234,0.006067085983138,0.013888645783342,0.00934983435137,0
"Papua New Guinea",8755.675,10486.891,95,"EAP",0.1193187,0.1714859,0.1427027,10.486891,8.755675,996.254645,1.2512822011617,1.7983539413369,1.2494584628225,1
"Paraguay",7066.33,7844.904,96,"LAC",0.001464425,0.002823743,0.001676748,7.844904,7.06633,753.110784,0.0114882735402,0.022151992755672,0.01184845469484,0
"Peru",33312.178,36806.784,97,"LAC",0.005829073,0.0119114,0.008342773,36.806784,33.312178,3570.258048,0.214549430831232,0.4384203269376,0.277915939189594,0
"Philippines",109703.396,125372.282,98,"EAP",0.0001864427,0.0006038392,0.0003661511,125.372282,109.703396,12286.483636,0.0233747467612414,0.0757046984650544,0.0401680191191356,0
"Poland",37942.231,36615.5,8,"ECA",0,0,0,36.6155,37.942231,292.924,0,0,0,0
"Portugal",10218.413,9877.056,99,"OHI",0.004953823,0.004953823,0.004953823,9.877056,10.218413,977.828544,0.048929187185088,0.048929187185088,0.050620209342899,0
"Qatar",2791.807,3231.911,,"OHI",,,,3.231911,2.791807,,,,,0
"Korea, Republic of",51506.975,52701.817,67,"OHI",0.002492806,0.002492806,0.002492806,52.701817,51.506975,3531.021739,0.131375405628502,0.131375405628502,0.12839689632185,0
"Moldova",4017.687,3843.941,8,"ECA",0,0,0,3.843941,4.017687,30.751528,0,0,0,0
"Romania",19388.362,18464.237,100,"ECA",0.01167296,0.01968005,0.01490079,18.464237,19.388362,1846.4237,0.21553229993152,0.36337710737185,0.28890191060598,0
"Russian Federation",143786.842,140543.418,101,"ECA",1.456163e-06,0.0002502686,0.0001756883,140.543418,143.786842,14194.885218,0.000204654125185134,0.0351736044620748,0.0252616658333486,0
"Rwanda",13087.173,16024.252,102,"SSA",0.02413896,0.05890086,0.03685289,16.024252,13.087173,1634.473704,0.38680877805792,0.94384222365672,0.48230014697997,1
"St. Lucia",181.203,186.369,114,"LAC",0.1390621,0.2079734,0.1711536,0.186369,0.181203,21.246066,0.0259168645149,0.0387597945846,0.0310135457808,0
"Samoa",200.117,212.095,8,"EAP",0,0.0007605971,0,0.212095,0.200117,1.69676,0,0.0001613188419245,0,0
"San Marino",33.809,34.688,,"OHI",,,,0.034688,0.033809,,,,,0
"Sao Tome and Principe",218.011,268.471,103,"SSA",0.01797691,0.04339544,0.02725604,0.268471,0.218011,27.652513,0.00482627900461,0.01165041717224,0.00594211653644,0
"Saudi Arabia",34709.64,39480.349,,"OHI",,,,39.480349,34.70964,,,,,0
"Senegal",17200.154,22123.23,104,"SSA",0.02784512,0.04707638,0.03841196,22.12323,17.200154,2300.81592,0.6160239941376,1.0414815823074,0.66069162744184,0
"Serbia",8703.942,8355.445,105,"ECA",0.0002766665,0.0002766665,0.0002766665,8.355445,8.703942,877.321725,0.0023116717240925,0.0023116717240925,0.002408089169343,0
"Seychelles",96.112,98.01,106,"SSA",0.003129449,0.003793199,0.003793199,0.09801,0.096112,10.38906,0.00030671729649,0.00037177143399,0.000364571942288,0
"Sierra Leone",8046.931,9719.531,107,"SSA",0.3130083,0.4839057,0.4009554,9.719531,8.046931,1039.989817,3.0422938751073,4.7033364522267,3.2264604378774,1
"Singapore",5935.053,6342.47,,"OHI",,,,6.34247,5.935053,,,,,0
"Slovak Republic",5451.4,5387.458,108,"ECA",0.002007613,0.004533426,0.002007613,5.387458,5.4514,581.845464,0.010815930717754,0.024423642171108,0.0109443015082,0
"Slovenia",2082.055,2059.211,8,"ECA",0,0,0,2.059211,2.082055,16.473688,0,0,0,0
"Solomon Islands",647.297,772.545,109,"EAP",0.05425875,0.1071531,0.08005805,0.772545,0.647297,84.207405,0.04191732601875,0.0827805916395,0.05182133559085,1
"Somalia",16105.174,21535.019,140,"SSA",,,,21.535019,16.105174,3014.90266,,,,1
"South Africa",58721.229,64465.553,110,"SSA",0.1032617,0.1655853,0.1291488,64.465553,58.721229,7091.21083,6.6568225942201,10.6745479331709,7.5837762598752,0
"South Sudan",13610.007,17254.367,111,"SSA",0.9455195,0.9717483,0.9610068,17.254367,13.610007,1915.234737,16.3143404586565,16.7669017998261,13.0793092750476,1
"Spain",46459.219,46115.125,112,"OHI",0.007329204,0.007329204,0.007329204,46.115125,46.459219,5164.894,0.3379871586105,0.3379871586105,0.340509093731676,0
"Sri Lanka",21084.042,21474.701,113,"SAS",7.005575e-05,0.0001975951,8.48552e-05,21.474701,21.084042,2426.641213,0.00150442628458075,0.0042432956915651,0.0017890906007184,0
"West Bank and Gaza",5322.629,6739.073,,"MNA",,,,6.739073,5.322629,,,,,1
"Sudan",43541.203,54842.478,115,"SSA",0.04871901,0.09213602,0.06619673,54.842478,43.541203,6306.88497,2.67187123410678,5.05296764985756,2.88228525886619,1
"Suriname",577.752,616.728,116,"LAC",0.1695302,0.1936712,0.1782297,0.616728,0.577752,71.540448,0.1045540211856,0.1194424518336,0.1029725656344,0
"Swaziland",1439.295,1666.435,,,,,,1.666435,1.439295,,,,,1
"Sweden",10121.686,10712.041,117,"OHI",0.002494396,0.002494396,0.002494396,10.712041,10.121686,1253.308797,0.026720072222236,0.026720072222236,0.025247493071656,0
"Switzerland",8670.535,9203.908,8,"OHI",0,0,0,9.203908,8.670535,73.631264,0,0,0,0
"Syrian Arab Republic",18924.442,26608.489,,"MNA",,,,26.608489,18.924442,,,,,1
"Tajikistan",9475.246,11194.411,118,"ECA",0.001283968,0.003723865,0.001886081,11.194411,9.475246,1320.940498,0.014373265502848,0.041686475318515,0.017871081450926,1
