"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","P20Headcount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10","ConsumptionFloor","diff","P20Threshold","P20Threshold.1","P20Threshold.2","ExtPovHC","LMPovHC","UMPovHC","NP20.Threshold","HeadCount","NP20PG","pop","P20pop","P20average","restpop","restaverage","NP20pop","NP20average","Nrestaverage","Global.Consumption.Floor","Global.Ext.HC"
0,1,"CPV","Cabo Verde","SSA","N",1981,2001.77,"X",47.56514,1.9,70.21932,0.6577258,0.3191278,0.1904643,0.5170144,0.524963,40.59555,0.4786267,-1,0.291602,"CPV_N2001X",0.01587,0.02564,0.03348,0.04232,0.05217,0.06488,0.08098,0.1046,0.1537,0.4264,0.766027434776914,0.4577258,1.9,1.9,1.9,0.6577258,,,1.9,0.6577258,0.3191278,291602,191794.1587316,0.97812219012847,233281.6,4.86523431670177,58320.4,-1.1317141,3.16865400445205,0.87360706070596,0.4224848
0,1,"CMR","Cameroon","SSA","N",1981,1996,"X",230.3753,1.9,128.8128,0.2493511,0.06626301,0.02505369,0.08474953,0.4444676,82.36742,0.325144,-1,8.883016,"CMR_N1996X",0.0248,0.03617,0.04427,0.05116,0.05977,0.07018,0.08501,0.1113,0.1558,0.3615,1.18162015278207,0.0493511,1.9,1.9,1.9,0.2493511,,,1.9,0.2493511,0.06626301,8883016,2214989.8109176,1.39509058111234,7106412.8,5.17828507956651,1776603.2,1.270501405,4.97605136107877,0.87360706070596,0.4224848
0,1,"CAN","Canada","OHI","N",1981,1981,"Y",1.284584,1.9,1274.099,0.004947209,0.00354031,0.00285804,0.001812345,0.3243864,1080.318,0.1977034,-1,24.9,"CAN_N1981Y",0.02634,0.04624,0.05865,0.06825,0.07892,0.09082,0.1056,0.126,0.1565,0.2427,0.366158048306504,0.195052791,1.9,1.9,1.9,0.004947209,,,1.9,0.004947209,0.00354031,24900000,123185.5041,0.540326495201638,19920000,42.0937598206987,4980000,1.866367055,51.8936411129623,0.87360706070596,0.4224848
0,0,"CAF","Central African Republic","SSA","N",1981,1992.43,"X",267.8691,1.9,45.30418,0.7909157,0.525687,0.3993243,1.151342,0.6133075,21.30784,0.7409222,0.7126964,2.346797,"CAF_N1992X",0.006934,0.01297,0.02021,0.02909,0.04034,0.05523,0.07624,0.1091,0.1725,0.4773,0.456714984391853,0.5909157,1.9,1.9,1.9,0.7909157,,,1.9,0.7909157,0.525687,2346797,1856118.5920129,0.637153276891583,1877437.6,4.71349576773906,469359.4,-3.0940265,2.63532224143836,0.87360706070596,0.4224848
0,1,"TCD","Chad","SSA","N",1981,2003,"X",251.2962,1.9,43.20025,0.7952042,0.3999821,0.2411314,0.6489339,0.3982457,31.7774,0.2676824,-1,4.610167,"TCD_N2003X",0.02465,0.03832,0.04741,0.05686,0.06726,0.0815,0.09852,0.1207,0.1577,0.3071,0.754574592213002,0.5952042,1.9,1.9,1.9,0.7952042,,,1.9,0.7952042,0.3999821,4610167,3666024.1611014,0.944313410316495,3688133.6,3.26842738855397,922033.4,-1.89982995,2.25031022722603,0.87360706070596,0.4224848
0,1,"CHL","Chile","LAC","N",1981,1987,"Y",391.6442,1.9,364.9104,0.077535,0.02842147,0.01631826,0.04260474,0.5621016,191.1389,0.5916716,-1,11.439144,"CHL_N1987Y",0.0116,0.02183,0.02942,0.0376,0.04707,0.05912,0.07618,0.1032,0.1601,0.4539,0.809110119919905,0.122465,1.9,1.9,1.9,0.077535,,,1.95,0.08095846,0.02972398,11439144,886934.03004,1.20353010898304,9151315.2,12.9042712076614,2287828.8,1.610191195,14.5937700094692,0.87360706070596,0.4224848
0,0,"CHN","China","EAP","A",1981,1981,"Y",3.696112,1.9,34.63933,0.8831546,0.4318482,0.2476459,0.6810142,-1,-1,-1,-1,993.885,"CHN_R1981Y",0,0,0,0,0,0,0,0,0,0,0.810433782055824,0.6831546,1.9,1.9,1.9,0.8831546,,,1.9,0.5941505,0.1418531,993885000,877754109.621,0.97093097856253,795108000,2.40784085356576,198777000,0.55239555,1.28543522208904,0.87360706070596,0.4224848
0,0,"CHN","China","EAP","A",1981,1981,"Y",3.696112,1.9,34.63933,0.8831546,0.4318482,0.2476459,0.6810142,-1,-1,-1,-1,993.885,"CHN_R1981Y",0,0,0,0,0,0,0,0,0,0,0.810433782055824,0.6831546,1.9,1.9,1.9,0.9559393,,,1.9,0.5941505,0.1418531,993885000,877754109.621,0.97093097856253,795108000,2.40784085356576,198777000,0.55239555,1.28543522208904,0.87360706070596,0.4224848
0,0,"CHN","China","EAP","A",1981,1981,"Y",3.696112,1.9,34.63933,0.8831546,0.4318482,0.2476459,0.6810142,-1,-1,-1,-1,993.885,"CHN_R1981Y",0,0,0,0,0,0,0,0,0,0,0.810433782055824,0.6831546,1.9,1.9,1.9,0.5941505,,,1.9,0.5941505,0.1418531,993885000,877754109.621,0.97093097856253,795108000,2.40784085356576,198777000,0.55239555,1.28543522208904,0.87360706070596,0.4224848
0,0,"CHN","China","EAP","R",1981,1981,"Y",3.696112,1.9,29.20024,0.9559393,0.5048825,0.2978553,0.8080193,0.2472923,26.64948,0.1019581,0.2028512,793.9352157,"CHN_R1981Y",0.04133,0.05658,0.06791,0.07757,0.08668,0.09607,0.1067,0.1203,0.1417,0.2052,0.779095492515585,0.7559393,1.9,1.9,1.9,0.8831546,,,1.9,0.5941505,0.1418531,793935215.7,758953874.341607,0.896508721840393,635148172.56,2.3376834778149,158787043.14,0.55239555,1.0619109755137,0.87360706070596,0.4224848
